"","Old.MSA","New.MSA"
"184","Lansing-East Lansing, MI","Lansing-East Lansing, MI"
"185","Laredo, TX","Laredo, TX"
"186","Las Cruces, NM","Las Cruces, NM"
"187","Las Vegas-Paradise, NV","Las Vegas-Henderson-Paradise, NV"
"188","Lawrence, KS","Lawrence, KS"
"189","Lawton, OK","Lawton, OK"
"190","Lebanon, PA","Lebanon, PA"
"191","Lewiston-Auburn, ME","Lewiston-Auburn, ME"
"192","Lewiston, ID-WA","Lewiston, ID-WA"
"193","Lexington-Fayette, KY","Lexington-Fayette, KY"
"194","Lima, OH","Lima, OH"
"195","Lincoln, NE","Lincoln, NE"
"196","Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR"
"197","Logan, UT-ID","Logan, UT-ID"
"198","Longview, TX","Longview, TX"
"199","Longview, WA","Longview, WA"
"200","Los Angeles-Long Beach-Santa Ana, CA","Los Angeles-Long Beach-Anaheim, CA"
"201","Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN"
"202","Lubbock, TX","Lubbock, TX"
"203","Lynchburg, VA","Lynchburg, VA"
"204","Macon, GA","Macon, GA"
"205","Madera, CA","Madera, CA"
"206","Madison, WI","Madison, WI"
"207","Manchester-Nashua, NH","Manchester-Nashua, NH"
"208","Mansfield, OH","Mansfield, OH"
"209","McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX"
"210","Medford, OR","Medford, OR"
"211","Memphis, TN-MS-AR","Memphis, TN-MS-AR"
"212","Merced, CA","Merced, CA"
"213","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL"
"214","Michigan City-La Porte, IN","Michigan City-La Porte, IN"
"215","Midland, TX","Midland, TX"
"216","Milwaukee-Waukesha-West Allis, WI","Milwaukee-Waukesha-West Allis, WI"
"217","Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI"
"218","Missoula, MT","Missoula, MT"
"219","Mobile, AL","Mobile, AL"
"220","Modesto, CA","Modesto, CA"
"221","Monroe, LA","Monroe, LA"
"222","Monroe, MI","Monroe, MI"
"223","Montgomery, AL","Montgomery, AL"
"224","Morgantown, WV","Morgantown, WV"
"225","Morristown, TN","Morristown, TN"
"226","Mount Vernon-Anacortes, WA","Mount Vernon-Anacortes, WA"
"227","Muncie, IN","Muncie, IN"
"228","Muskegon-Norton Shores, MI","Muskegon, MI"
"229","Myrtle Beach-Conway-North Myrtle Beach, SC","Myrtle Beach-Conway-North Myrtle Beach, SC-NC"
"230","Napa, CA","Napa, CA"
"231","Naples-Marco Island, FL","Naples-Immokalee-Marco Island, FL"
"232","Nashville-Davidson--Murfreesboro--Franklin, TN","Nashville-Davidson--Murfreesboro--Franklin, TN"
"233","New Haven-Milford, CT","New Haven-Milford, CT"
"234","New Orleans-Metairie-Kenner, LA","New Orleans-Metairie, LA"
"235","New York-Northern New Jersey-Long Island, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
"236","Niles-Benton Harbor, MI","Niles-Benton Harbor, MI"
"237","Norwich-New London, CT","Norwich-New London, CT"
"238","Ocala, FL","Ocala, FL"
"239","Ocean City, NJ","Ocean City, NJ"
"240","Odessa, TX","Odessa, TX"
"241","Ogden-Clearfield, UT","Ogden-Clearfield, UT"
"242","Oklahoma City, OK","Oklahoma City, OK"
"243","Olympia, WA","Olympia-Tumwater, WA"
"244","Omaha-Council Bluffs, NE-IA","Omaha-Council Bluffs, NE-IA"
"245","Orlando-Kissimmee, FL","Orlando-Kissimmee-Sanford, FL"
"246","Oshkosh-Neenah, WI","Oshkosh-Neenah, WI"
"247","Owensboro, KY","Owensboro, KY"
"248","Oxnard-Thousand Oaks-Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA"
"249","Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL"
"250","Palm Coast, FL",""
"251","Panama City-Lynn Haven, FL","Panama City, FL"
"252","Parkersburg-Marietta-Vienna, WV-OH","Parkersburg-Vienna, WV"
"253","Pascagoula, MS","Gulfport-Biloxi-Pascagoula, MS"
"254","Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL"
"255","Peoria, IL","Peoria, IL"
"256","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
"257","Phoenix-Mesa-Scottsdale, AZ","Phoenix-Mesa-Scottsdale, AZ"
"258","Pine Bluff, AR","Pine Bluff, AR"
"259","Pittsburgh, PA","Pittsburgh, PA"
"260","Pittsfield, MA","Pittsfield, MA"
"261","Pocatello, ID","Pocatello, ID"
"262","Port St. Lucie, FL","Port St. Lucie, FL"
"263","Portland-South Portland-Biddeford, ME","Portland-South Portland, ME"
